number,symbol,name,atomic_mass,atomic_radii(pm),Protons,Electrons,Neutrons,Oxi. States,electron_configuration_semantic,phase,ionization_energies,electron_affinity,electronegativity_pauling,melt,boil,density,discovered_by
41,Nb,Niobium,92.906372,198,41,41,52,"+3, +5",[Kr] 4d4 5s1,Solid,652.1,88.516,1.6,2750,5017,8.57,Charles Hatchett
42,Mo,Molybdenum,95.951,190,42,42,54,"+4, +6",[Kr] 4d5 5s1,Solid,684.3,72.1,2.16,2896,4912,10.28,Carl Wilhelm Scheele
43,Tc,Technetium,98,183,43,43,55,"+4, +7",[Kr] 4d5 5s2,Solid,702,53,1.9,2430,4538,11,Emilio Segrè
44,Ru,Ruthenium,101.072,178,44,44,57,"+3, +4",[Kr] 4d7 5s1,Solid,710.2,100.96,2.2,2607,4423,12.45,Karl Ernst Claus
45,Rh,Rhodium,102.905502,173,45,45,58,"+3, +4",[Kr] 4d8 5s1,Solid,719.7,110.27,2.28,2237,3968,12.41,William Hyde Wollaston
46,Pd,Palladium,106.421,169,46,46,60,"+2, +4",[Kr] 4d10,Solid,804.4,54.24,2.2,1828.05,3236,12.023,William Hyde Wollaston
47,Ag,Silver,107.86822,165,47,47,61,"+1, +2",[Kr] 4d10 5s1,Solid,731,125.862,1.93,1234.93,2435,10.49,"unknown, before 5000 BC"
48,Cd,Cadmium,112.4144,161,48,48,64,2,[Kr] 4d10 5s2,Solid,867.8,-68,1.69,594.22,1040,8.65,Karl Samuel Leberecht Hermann
49,In,Indium,114.8181,156,49,49,66,"+1, +3",[Kr] 4d10 5s2 5p1,Solid,558.3,37.043,1.78,429.7485,2345,7.31,Ferdinand Reich
50,Sn,Tin,118.7107,145,50,50,69,"+2, +4",[Kr] 4d10 5s2 5p2,Solid,708.6,107.2984,1.96,505.08,2875,7.365,"unknown, before 3500 BC"
51,Sb,Antimony,121.7601,133,51,51,71,"-3, +3, +5",[Kr] 4d10 5s2 5p3,Solid,834,101.059,2.05,903.78,1908,6.697,"unknown, before 3000 BC"
52,Te,Tellurium,127.603,123,52,52,76,"-2, +4, +6",[Kr] 4d10 5s2 5p4,Solid,869.3,190.161,2.1,722.66,1261,6.24,Franz-Joseph Müller von Reichenstein
53,I,Iodine,126.904473,115,53,53,74,"-1, +1, +5, +7",[Kr] 4d10 5s2 5p5,Solid,1008.4,295.1531,2.66,386.85,457.4,4.933,Bernard Courtois
54,Xe,Xenon,131.2936,108,54,54,77,"0, +2, +4, +6",[Kr] 4d10 5s2 5p6,Gas,1170.4,-77,2.6,161.4,165.051,5.894,William Ramsay
55,Cs,Cesium,132.905452,298,55,55,78,1,[Xe] 6s1,Solid,375.7,45.505,0.79,301.7,944,1.93,Robert Bunsen
56,Ba,Barium,137.3277,253,56,56,81,2,[Xe] 6s2,Solid,502.9,13.954,0.89,1000,2118,3.51,Carl Wilhelm Scheele
57,La,Lanthanum,138.905477,195,57,57,82,3,[Xe] 5d16s2,Solid,538.1,53,1.1,1193,3737,6.162,Carl Gustaf Mosander
58,Ce,Cerium,140.1161,185,58,58,82,"+3, +4",[Xe] 4f1 5d1 6s2,Solid,534.4,55,1.12,1068,3716,6.77,Martin Heinrich Klaproth
59,Pr,Praseodymium,140.907662,247,59,59,82,"+3, +4",[Xe] 4f3 6s2,Solid,527,93,1.13,1208,3403,6.77,Carl Auer von Welsbach
60,Nd,Neodymium,144.2423,206,60,60,84,3,[Xe] 4f4 6s2,Solid,533.1,184.87,1.14,1297,3347,7.01,Carl Auer von Welsbach
